ni,lukemod,lukestrong,denmod,denstrong
21.89375983,110.4039506,37.77737768,15.34625454,0.812073451
55.63924724,66.90776346,24.11469617,62.34110846,2.649973169
41.49803357,35.74154868,28.45791927,22.69659577,2.272907017
16.18723552,35.6790295,20.77299566,27.10263817,2.218872553
36.65535053,12.85398038,10.6459256,17.52644405,2.344987456
118.0386937,81.232105,17.53402571,56.42820245,0.054220432
50.41406874,22.93745369,19.03013997,63.96639684,3.704764656
55.47996446,42.53065671,19.10768967,65.32806883,1.28808114
8.973186139,43.14704083,27.40047929,104.0714354,1.833905533
57.32201043,23.77689547,112.5662687,55.11033527,0.40217424
48.16919018,30.24145342,11.03338866,218.60493,0.21938813
24.68893944,119.1622832,22.29003867,35.2154056,1.309904004
57.39552368,27.95018801,15.57202701,64.61842108,0.753194329
31.21096881,108.1083011,176.9217186,13.01567859,1.05834572
29.82886949,9.695629816,33.272862,53.81920354,1.38030237
47.77457529,14.18230682,15.89114511,115.3144358,1.061315971
26.85786654,46.83611588,23.34972016,72.91373623,1.092539681
20.3249825,37.23019382,22.53083666,61.59995295,1.805555504
73.9742522,24.87786189,54.59250834,18.45197369,1.651305754
25.13844023,19.61357732,116.8247413,47.01332102,2.263781683
40.91532802,17.79992608,32.4528437,27.71814994,0.79751469
67.91954244,42.0182715,22.90403142,20.70651294,0.786483092
56.23390564,97.22621886,31.08993656,75.38112831,3.697114463
20.44599591,104.0130991,46.0401927,64.28782911,1.329316261
53.69355157,24.72984323,22.48748319,46.32289376,1.686473569
13.9862953,50.52452839,26.23464063,51.17046828,0.92315714
31.23507278,101.4087669,18.98654489,78.2871353,4.77955244
28.59015236,118.9980738,19.06704979,25.87864913,2.011158939
29.15897662,13.66198189,7.423472077,27.4354112,4.634535174
60.81177383,48.94816058,43.87370384,132.5128526,1.354976312
31.15031009,40.97344538,60.28343659,11.71346592,1.380786156
27.85304004,43.90909424,7.205811307,47.5873644,1.160895503
77.4796929,43.71499741,19.18456213,33.85964636,0.231646572
48.1487019,31.02431634,24.13512983,86.82406844,5.579823354
79.81793028,35.72705392,20.51465254,47.98729695,1.761606399
205.5376129,78.0986662,35.26016561,26.02473206,1.10258254
20.6066449,83.11879852,31.62564769,72.78835934,2.810803405
73.55818577,22.13848357,30.41611483,73.04776157,0.753712343
57.59398019,43.35989803,28.83542303,25.29423536,1.190858369
102.349815,94.89744533,34.61598459,28.68439812,0.487840177
46.05821502,220.7158583,19.93804818,95.85908371,2.751519217
11.79544099,126.647446,55.77577735,32.47860594,0.709718303
40.07848919,294.6856086,48.73887077,16.84406098,0.978617671
30.45262014,45.65545902,81.80100918,23.16078823,1.169900359
33.07026494,52.45905295,25.63626371,164.6951733,0.609878222
34.56396838,38.54396607,12.38972042,14.1639781,0.351338718
102.747341,26.81710713,31.08075944,27.28411082,1.431275388
134.7002237,39.04698024,32.36099686,36.14082678,2.481173077
16.36093862,12.52852937,29.75659342,26.76972485,1.825465718
38.73312727,6.850465441,5.013196038,121.3467835,1.38412272
31.64141765,22.24583502,10.9802957,59.74336213,1.435666548
82.79877529,28.3170524,18.84416248,34.78413371,1.044824288
104.1522142,30.00838152,9.554604429,50.63605591,1.065909835
108.7545449,63.12578864,61.32208057,61.43613041,0.670687534
10.49392475,39.86397307,39.84428229,16.43122268,1.026009104
212.8302427,67.2535389,58.67152575,44.95031192,1.791303634
82.45187733,42.3257786,6.858798862,315.4094426,1.055739013
33.29050666,104.221673,44.95171414,7.091445109,3.933997845
23.87251937,54.17570509,40.20804663,75.69379044,1.162297545
28.32217341,32.00084489,13.66106381,210.9891628,2.453483236
18.39249769,16.01576664,37.62697185,7.48637574,2.554925109
39.52882506,17.91869026,12.64421843,49.84123964,2.307261761
23.88171115,11.83804802,19.26854089,36.6429951,5.986337633
86.53651326,23.55816995,9.261962875,42.94065006,0.130832249
26.70712734,16.67721881,53.30871546,27.91570942,0.341214912
85.51447953,130.4292412,85.90669543,23.05752854,3.29796748
