year_to,samp_size,series,mean,q025,q975
1885,20,denstrong,0.00552242923401639,-0.122869928729254,0.134764051822675
1886,21,ni,3.10156661045729,-0.165125460675756,6.4529352892146
1886,21,lukemod,1.04952238846092,0.557525472940496,1.55582624496858
1886,21,lukestrong,1.00297504177945,0.84708457424189,1.16867118756815
1886,21,denmod,0.0654332975905032,-0.421767912830763,0.560431996873989
1886,21,denstrong,0.0043318913917507,-0.122125619951171,0.130536397916318
1887,22,ni,2.86227549543118,-0.826456956451106,6.60355864451944
1887,22,lukemod,1.03186997039453,0.540972064441139,1.53322282876447
1887,22,lukestrong,1.00189330220996,0.845238624412417,1.16532919431277
1887,22,denmod,0.0465631142966707,-0.439630614088357,0.534658180742782
1887,22,denstrong,0.00411366647381508,-0.123992228311661,0.132683685841544
1888,23,ni,2.66121151357501,-1.27012016044026,6.59081076048029
1888,23,lukemod,1.02673711683624,0.532436320376254,1.53668053529386
1888,23,lukestrong,1.00198479325743,0.846592365098087,1.1661679455235
1888,23,denmod,0.0396632862233469,-0.44405684301249,0.535115814594267
1888,23,denstrong,0.00298677619916544,-0.124530673772816,0.130501844485769
1889,24,ni,2.68405857021388,-1.16345905648304,6.56377046262167
1889,24,lukemod,1.03023821788343,0.54704385922711,1.52734669255011
1889,24,lukestrong,1.00158373424316,0.843610390963318,1.16714465869052
1889,24,denmod,0.0484925523825953,-0.435483797102647,0.532827314424837
1889,24,denstrong,0.0026953092580688,-0.123634314502415,0.131341561275611
1890,25,ni,2.62522408006776,-1.0605284301163,6.41349735427623
1890,25,lukemod,1.02800484899652,0.54061306817291,1.52777107888667
1890,25,lukestrong,1.00168063531696,0.845595229840777,1.16671119915318
1890,25,denmod,0.0454568268597364,-0.439803515397081,0.52866641065465
1890,25,denstrong,0.00257304460548581,-0.125600784531855,0.13087807194401
1891,26,ni,2.39461603772473,-1.20421701811811,6.01911123510048
1891,26,lukemod,1.03063833972841,0.533843168755743,1.53639524669274
1891,26,lukestrong,1.00085647844611,0.843909327654502,1.1663300701547
1891,26,denmod,0.0403628003564925,-0.445795625966461,0.532857124270727
1891,26,denstrong,0.00307139088742419,-0.125008376892998,0.129515170309806
1892,27,ni,1.7757249056357,-1.73376195208433,5.24985546851391
1892,27,lukemod,1.01912548226964,0.523954110331189,1.51804975993354
1892,27,lukestrong,1.00070388046356,0.845183810827343,1.16554292561157
1892,27,denmod,0.0395534831181958,-0.441960384969728,0.525133125477536
1892,27,denstrong,0.0029670813518075,-0.124428754468705,0.129286896566184
1893,28,ni,0.395790694363918,-2.90530029559359,3.70716833030137
1893,28,lukemod,0.988365595303965,0.50368818540292,1.49064268884839
1893,28,lukestrong,0.998468880340095,0.84202497431459,1.16420668059685
1893,28,denmod,0.0106951783739705,-0.475023143706967,0.496432287692151
1893,28,denstrong,0.000657762457114946,-0.125785983964945,0.126423904160548
1894,29,ni,0.734652648272025,-2.41653742728893,3.91095711316982
1894,29,lukemod,0.986971360891389,0.497291612758413,1.48455699967182
1894,29,lukestrong,0.999220151806153,0.843627583932994,1.16416335289089
1894,29,denmod,0.0184161544625302,-0.476250170391782,0.505394485315119
1894,29,denstrong,0.000852430486109426,-0.12675496353619,0.129525582318033
1895,30,ni,0.578126185496882,-2.4530803781588,3.62227084080672
1895,30,lukemod,0.987350068114781,0.507796117320184,1.4846933035699
1895,30,lukestrong,0.999061160299618,0.843099949256004,1.16561677598894
1895,30,denmod,0.0190674872225911,-0.464708508961526,0.505210918592445
1895,30,denstrong,0.00154442451113766,-0.125713235176051,0.128827055136204
1896,31,ni,0.755866005084496,-2.15320347052427,3.64676284171464
1896,31,lukemod,0.990313442378586,0.503803250277153,1.49731794310409
1896,31,lukestrong,0.999387062617415,0.843954431829299,1.16519350939152
1896,31,denmod,0.0231154844717558,-0.459296694151507,0.507023327833901
1896,31,denstrong,0.00104385359044016,-0.126212463676643,0.129134578379684
1897,32,ni,0.840624015766332,-1.99673135794289,3.65677247543032
1897,32,lukemod,0.993009905038699,0.505260292455618,1.4882299990854
1897,32,lukestrong,0.998599472587208,0.843835036415636,1.16605920675359
1897,32,denmod,0.0275815467681248,-0.458977397568426,0.517804392711388
1897,32,denstrong,0.00224075137291439,-0.125155781502428,0.129566701261844
1898,33,ni,0.653444382648293,-2.16150556151298,3.50870234753435
1898,33,lukemod,0.989340005664049,0.49972557206955,1.48527880484773
