year_to,samp_size,series,mean,q025,q975
1981,25,denmod,0.581842286085958,0.113299994003981,1.00304963835427
1981,25,denstrong,0.0440247583287451,-0.0844776220645917,0.171796076829682
1980,26,ni,1.40306505990462,0.961163756755229,1.86379187002475
1980,26,lukemod,1.23864726580026,0.884647075260111,1.60486522164942
1980,26,lukestrong,1.03139934925556,0.877366216449558,1.19459249594307
1980,26,denmod,0.626074871293731,0.141164308936322,1.06022187851723
1980,26,denstrong,0.0422707238329556,-0.0850850926957049,0.170845219752175
1979,27,ni,1.407599596153,0.990403196927759,1.83785204796018
1979,27,lukemod,1.25204854847811,0.920899754514439,1.58064223368413
1979,27,lukestrong,1.03641624261817,0.881129128771078,1.20303822240109
1979,27,denmod,0.691979712521295,0.219913330968772,1.10552532219367
1979,27,denstrong,0.0479766668572397,-0.0793798600327365,0.175936623717271
1978,28,ni,1.47121700691218,1.05243079664814,1.9054297567439
1978,28,lukemod,1.27486657582722,0.950191400470295,1.61981799614111
1978,28,lukestrong,1.04103637466861,0.886732258438351,1.20480299343947
1978,28,denmod,0.721614192117237,0.226867280916278,1.17366364157735
1978,28,denstrong,0.0467372304257864,-0.084148703958564,0.177348025237849
1977,29,ni,1.41218726353782,1.01104648576179,1.82978368521555
1977,29,lukemod,1.26280689446704,0.936062431122347,1.59405365705458
1977,29,lukestrong,1.03754082742631,0.880801649501087,1.20205714095213
1977,29,denmod,0.740423623092492,0.335725194640696,1.14426862566511
1977,29,denstrong,0.0523290091292422,-0.0737980353462732,0.179044787422119
1976,30,ni,1.44301466782127,1.04634110353288,1.85308661576381
1976,30,lukemod,1.28181801253868,0.948651210741035,1.61447043019816
1976,30,lukestrong,1.03951496209397,0.883724570725046,1.20438004359781
1976,30,denmod,0.785258334791848,0.323841625939514,1.22186786870648
1976,30,denstrong,0.0536217969138877,-0.074869624051504,0.184078449843604
1975,31,ni,1.32870215012174,0.933886983670129,1.73664217900952
1975,31,lukemod,1.2171283741943,0.895069046859466,1.53444915983178
1975,31,lukestrong,1.03445724922753,0.879913565903173,1.19674300206201
1975,31,denmod,0.73528891312834,0.355597931245358,1.09583840205412
1975,31,denstrong,0.0562854460469964,-0.0721376299508894,0.185105098697935
1974,32,ni,1.31258276822248,0.918470896956269,1.71844499544032
1974,32,lukemod,1.20024937851416,0.876878827063468,1.52684992982177
1974,32,lukestrong,1.02953422910628,0.874776063884626,1.19414725587038
1974,32,denmod,0.747459685898362,0.32458713462753,1.1099747611269
1974,32,denstrong,0.0595074591973946,-0.0693088631807188,0.18668476061083
1973,33,ni,1.11524703702197,0.677945055298519,1.56914459580458
1973,33,lukemod,1.07249059760856,0.730429072284815,1.42165177849246
1973,33,lukestrong,1.00948941875891,0.855127439251205,1.17206243816323
1973,33,denmod,0.58950054717644,0.193517581602329,0.942664098299808
1973,33,denstrong,0.0541608371471101,-0.0729625269778519,0.18273631410913
1972,34,ni,1.10391148218161,0.672920429764729,1.553928930749
1972,34,lukemod,1.04239253133966,0.728213736814579,1.37509797223917
1972,34,lukestrong,1.00793211291875,0.85405970680518,1.16920223972243
