year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1969,-0.068,0.1,0.202,0.144,0.006,0.023,0.089,-0.106,-0.112,-0.19,-0.129,-0.037
1970,-0.015,-0.053,0.014,0.015,-0.051,-0.187,-0.205,-0.146,-0.143,-0.201,-0.245,-0.214
1971,-0.251,-0.297,-0.315,-0.418,-0.331,-0.368,-0.354,-0.44,-0.371,-0.24,-0.248,-0.313
1972,-0.323,-0.385,-0.444,-0.331,-0.474,-0.493,-0.38,-0.388,-0.307,-0.291,-0.282,-0.355
1973,-0.378,-0.398,-0.349,-0.269,-0.174,-0.18,-0.108,-0.138,-0.136,-0.22,-0.214,-0.243
1974,-0.28,-0.288,-0.406,-0.528,-0.504,-0.452,-0.519,-0.472,-0.51,-0.512,-0.43,-0.365
1975,-0.277,-0.343,-0.314,-0.35,-0.393,-0.3,-0.276,-0.189,-0.34,-0.358,-0.345,-0.326
1976,-0.389,-0.446,-0.498,-0.431,-0.492,-0.488,-0.311,-0.189,-0.197,-0.297,-0.42,-0.436
1977,-0.393,-0.337,-0.187,-0.221,-0.174,-0.111,-0.11,-0.149,-0.236,-0.228,-0.147,-0.209
1978,-0.11,-0.151,-0.162,-0.199,-0.208,-0.337,-0.28,-0.231,-0.194,-0.211,-0.123,-0.186
1979,-0.196,-0.155,-0.232,-0.241,-0.121,-0.045,-0.098,-0.119,-0.113,-0.091,-0.089,-0.063
1980,-0.005,-0.081,-0.142,-0.004,0.126,0.105,0.047,0.02,-0.011,-0.064,-0.2,-0.252
1981,-0.18,-0.179,0.003,-0.093,-0.082,-0.06,-0.093,-0.113,-0.034,-0.185,-0.135,-0.005
1982,-0.079,-0.077,-0.079,-0.181,-0.19,-0.182,-0.227,-0.307,-0.306,-0.369,-0.415,-0.378
1983,-0.296,-0.102,0.083,0.061,-0.046,-0.052,-0.013,-0.156,-0.214,-0.194,-0.156,-0.001
1984,-0.105,-0.086,-0.123,-0.156,-0.164,-0.323,-0.264,-0.224,-0.207,-0.342,-0.423,-0.316
1985,-0.353,-0.328,-0.355,-0.399,-0.336,-0.127,-0.151,-0.28,-0.246,-0.244,-0.294,-0.335
1986,-0.342,-0.274,-0.291,-0.323,-0.227,-0.26,-0.247,-0.271,-0.218,-0.317,-0.396,-0.37
1987,-0.277,-0.216,-0.032,0.03,0.069,0.204,0.281,0.281,0.195,0.048,-0.069,0.044
1988,-0.041,-0.116,-0.01,0.051,0.137,0.164,0.108,-0.01,-0.097,-0.173,-0.149,-0.166
1989,-0.223,-0.159,-0.256,-0.292,-0.149,0.088,0.174,0.11,-0.097,-0.126,-0.152,-0.156
1990,-0.302,-0.164,-0.181,-0.12,-0.061,-0.059,-0.025,0.05,0.144,0.11,-0.057,-0.039
1991,-0.198,-0.12,-0.072,-0.136,-0.157,-0.133,-0.111,-0.113,-0.041,-0.266,-0.265,-0.218
1992,-0.195,-0.098,-0.097,-0.189,-0.226,-0.155,-0.224,-0.385,-0.374,-0.305,-0.339,-0.289
1993,-0.245,-0.192,-0.249,-0.178,-0.169,-0.187,-0.282,-0.234,-0.17,-0.248,-0.324,-0.299
1994,-0.302,-0.315,-0.285,-0.206,-0.212,-0.228,-0.237,-0.241,-0.158,-0.065,-0.025,-0.097
1995,-0.068,-0.046,0.01,0.069,0.265,0.358,0.307,0.177,0.047,0.095,0.12,0.035
1996,-0.016,-0.039,-0.064,0.003,-0.072,-0.13,-0.111,-0.015,-0.008,-0.151,-0.18,-0.162
1997,-0.098,-0.042,-0.002,0.001,0.033,0.002,0.054,0.008,0.102,0.143,0.044,0.124
1998,0.123,0.285,0.315,0.284,0.377,0.482,0.481,0.505,0.405,0.375,0.31,0.272
1999,0.044,0.05,0.062,0.045,0.155,0.173,0.191,0.3,0.178,0.01,-0.056,0.008
2000,-0.091,-0.045,0.097,0.035,0.098,-0.025,0.065,0.096,0.095,-0.047,-0.06,-0.134
