ni,lukemod,lukestrong,denmod,denstrong
54.39699851,41.33620748,19.92348009,20.27816277,0.41908556
51.55725681,68.55529858,103.0612217,46.23297141,0.842589204
18.43927497,53.36717732,20.11826248,76.8717093,2.869472065
40.6276268,23.29652782,46.92380894,41.48871457,1.605809794
26.09793209,57.66805891,31.79963225,15.5684302,2.174580655
62.53170312,43.93183028,103.7316999,59.35393858,0.410811355
40.54548351,38.98060754,10.83336049,146.8695156,2.312207308
138.7088053,24.46174224,11.89986331,27.09105713,0.769544806
160.6311833,7.027391045,50.17813447,158.4862017,1.720470303
14.49484326,31.19102045,10.90337348,34.93150243,0.161435835
56.3975821,37.02262302,44.60406113,8.017359319,0.858153785
14.58089169,58.69783125,15.64269614,47.31790188,3.05759809
33.52165874,18.17362087,72.5798201,59.62267921,7.183215039
59.22172595,19.7334909,8.011238088,41.75357005,0.481250596
86.72155449,29.0896587,23.38796264,21.23315391,0.046571912
32.72055641,20.74857909,55.04170774,31.84009418,1.882743705
69.53440217,23.71321576,19.23201177,27.87951984,1.931429679
60.70723069,20.12426201,17.78098214,97.36706204,0.65618104
15.97897461,45.94034054,38.8044072,22.48366968,1.889147116
25.32023083,19.69125292,21.57788792,34.03315345,2.144785313
36.17771454,23.7269642,10.74281186,12.60957551,0.435475264
16.20884387,73.04163276,10.61709855,90.27380959,1.350648936
16.74249698,24.40268842,15.43304608,45.6716084,4.20676173
18.97959317,151.6674268,15.37262212,147.7760639,4.05871446
129.6485763,69.29834902,14.22761728,26.13424878,1.221777151
52.83881441,54.17388517,43.33551151,60.24192889,3.118529726
37.51927976,41.69542605,26.29239898,14.50776848,1.316099346
123.256701,30.89881796,27.32505218,83.48775554,0.844624628
30.6908582,28.10781384,25.52203138,20.05741545,2.827835528
12.65189682,40.7811804,43.13520971,26.22291273,0.267074003
32.68573995,63.44933506,34.12539704,11.28188563,1.521797675
27.33671494,46.54324989,28.82741791,17.95685808,0.303420368
68.85136839,78.99625395,16.14896707,34.43663564,2.060643922
24.23086116,148.3885218,29.05228865,43.60925628,2.345207733
37.38193236,152.6686306,16.85027848,30.40402387,0.326374036
16.07322663,58.86595903,19.59093314,16.80537559,0.181974639
19.97112762,35.92132311,12.47887218,15.52207402,0.815065354
29.70862262,23.54784913,11.35260066,15.16183677,0.744907137
30.25328026,50.53098066,25.26606268,32.02131329,1.1472025
15.42382214,12.16638731,36.80827833,7.725265245,0.355160458
13.95886245,12.13755544,16.46987664,82.80791818,0.708594138
348.8437191,69.91008921,22.00750456,33.79380915,2.901776895
29.60796387,75.72648058,19.19297682,62.13561968,1.175426725
73.06734201,29.46385572,107.9967104,22.59434068,-0.266563385
48.0554088,46.49737062,46.93500569,40.5916983,2.852038151
39.66547634,20.230573,20.91366142,47.21744255,0.744596782
30.71499308,38.74841675,14.07645761,262.7026555,2.082266859
66.18263621,53.68764899,28.42276474,43.94696098,1.894761822
62.59755172,58.23806347,21.03309776,31.07496347,0.480559935
74.29974861,18.6816012,48.51726096,21.13436227,4.837076994
71.88876198,30.53371432,55.18980552,27.73367822,1.270346451
12.77551244,27.59505277,34.96144053,21.7177019,5.094146056
16.28018483,26.49768833,6.849274568,33.06593714,4.080551523
31.12711812,59.04410417,76.30766412,9.966461725,1.577512933
79.60310562,199.0865834,29.36381762,28.45418373,5.087961607
87.12050153,99.40365267,30.46304842,48.29308253,0.110443463
34.88214437,39.56988366,26.91702829,22.40362651,2.239413723
68.53172556,48.96008888,16.43444361,14.03925565,0.491138008
67.23556738,21.17813931,17.47910719,40.44059082,1.015657603
46.5858126,58.53158515,23.77482639,18.70775832,1.929460993
64.25248035,23.77949991,13.93987811,48.95706665,0.396857459
53.62402823,14.05523743,41.88064138,35.48463497,4.50174424
38.91228284,12.88490005,8.099639167,13.22735439,1.586011567
24.74460736,101.2571505,60.64399873,23.27317964,1.160376959
17.91299775,57.78382064,7.998709195,27.66902413,3.490685015
