year,rcp,had,had_025,had_975,cw,cw_1sigma,giss,trf,volc,solar,anthro,ghg,co2ch4n2o,fgassum,mhalosum,aerosols,other,soi,amo,had_full,cw_full,giss_full,volc_mean,soi_mean,amo_mean
2087,rcp26,NA,NA,NA,NA,NA,NA,2.6681347,0,0.14625187,2.5218828,3.0773913,2.8424459,0.13363696,0.10130853,-0.16053317,-0.394975354,NA,NA,NA,NA,NA,0.0178146542751773,-0.0956111111111111,-0.00361611111111111
2088,rcp26,NA,NA,NA,NA,NA,NA,2.6958948,0,0.18119062,2.5147041,3.0685994,2.8343891,0.13426092,0.099949427,-0.15851848,-0.395376785,NA,NA,NA,NA,NA,0.0178146542751773,-0.0956111111111111,-0.00361611111111111
2089,rcp26,NA,NA,NA,NA,NA,NA,2.6981114,0,0.19056187,2.5075495,3.0598361,2.8263834,0.13483951,0.098613205,-0.15650379,-0.395782757,NA,NA,NA,NA,NA,0.0178146542751773,-0.0956111111111111,-0.00361611111111111
2090,rcp26,NA,NA,NA,NA,NA,NA,2.6747318,0,0.17415125,2.5005805,3.0512345,2.818558,0.13537621,0.097300274,-0.15456981,-0.396084124,NA,NA,NA,NA,NA,0.0178146542751773,-0.0956111111111111,-0.00361611111111111
2091,rcp26,NA,NA,NA,NA,NA,NA,2.6240521,0,0.13018687,2.4938653,3.0428292,2.8109441,0.13587416,0.096010922,-0.15279728,-0.396166672,NA,NA,NA,NA,NA,0.0178146542751773,-0.0956111111111111,-0.00361611111111111
2092,rcp26,NA,NA,NA,NA,NA,NA,2.5734336,0,0.086078125,2.4873555,3.0346748,2.8036068,0.13632204,0.094745889,-0.15110546,-0.396213808,NA,NA,NA,NA,NA,0.0178146542751773,-0.0956111111111111,-0.00361611111111111
2093,rcp26,NA,NA,NA,NA,NA,NA,2.5402522,0,0.059268125,2.4809841,3.0267175,2.7965043,0.13670834,0.093504834,-0.14941365,-0.396319774,NA,NA,NA,NA,NA,0.0178146542751773,-0.0956111111111111,-0.00361611111111111
2094,rcp26,NA,NA,NA,NA,NA,NA,2.5178727,0,0.043176875,2.4746958,3.0188058,2.7894835,0.13703593,0.092286376,-0.14772183,-0.396388154,NA,NA,NA,NA,NA,0.0178146542751773,-0.0956111111111111,-0.00361611111111111
2095,rcp26,NA,NA,NA,NA,NA,NA,2.500678,0,0.032265625,2.4684124,3.0108648,2.7824677,0.13730763,0.091089443,-0.14603002,-0.396422353,NA,NA,NA,NA,NA,0.0178146542751773,-0.0956111111111111,-0.00361611111111111
2096,rcp26,NA,NA,NA,NA,NA,NA,2.4877713,0,0.025655,2.4621163,3.0028787,2.7754392,0.13752624,0.08991325,-0.1443382,-0.39642414,NA,NA,NA,NA,NA,0.0178146542751773,-0.0956111111111111,-0.00361611111111111
