mu,sigma,tcr_mean,yr_converge,yr_start,thresh,run
0.2,0.232,1.45418728523079,1990,1963,1.5,evid
0.1,0.232,1.45266699567145,1991,1963,1.5,evid
0,0.232,1.45493573232774,1995,1963,1.5,evid
1,0.213,1.45868654820069,1965,1965,1.5,evid
0.9,0.213,1.47386440870033,1969,1965,1.5,evid
0.8,0.213,1.46921424044317,1972,1965,1.5,evid
0.7,0.213,1.46543847648341,1973,1965,1.5,evid
0.6,0.213,1.45305193415681,1977,1965,1.5,evid
0.5,0.213,1.45664597964988,1983,1965,1.5,evid
0.4,0.213,1.45148795797123,1988,1965,1.5,evid
0.3,0.213,1.45165878786304,1993,1965,1.5,evid
0.2,0.213,1.46476573464618,1997,1965,1.5,evid
0.1,0.213,1.46200420617444,1998,1965,1.5,evid
0,0.213,1.45580324388907,2002,1965,1.5,evid
1,0.194,1.47542737496284,1969,1969,1.5,evid
0.9,0.194,1.46563108593071,1972,1969,1.5,evid
0.8,0.194,1.46503141546439,1975,1969,1.5,evid
0.7,0.194,1.47181051282407,1983,1969,1.5,evid
0.6,0.194,1.45557633140229,1988,1969,1.5,evid
0.5,0.194,1.45087919168813,1991,1969,1.5,evid
0.4,0.194,1.46087107636803,1997,1969,1.5,evid
0.3,0.194,1.45734896492606,1998,1969,1.5,evid
0.2,0.194,1.45167754483513,2002,1969,1.5,evid
0.1,0.194,1.45240314162371,2006,1969,1.5,evid
0,0.194,1.45244883530487,2007,1969,1.5,evid
1,0.176,1.46552462768002,1972,1972,1.5,evid
0.9,0.176,1.46159807099408,1975,1972,1.5,evid
0.8,0.176,1.45910884304521,1983,1972,1.5,evid
0.7,0.176,1.45955526452908,1991,1972,1.5,evid
0.6,0.176,1.45012341374729,1996,1972,1.5,evid
0.5,0.176,1.45700838868786,1998,1972,1.5,evid
0.4,0.176,1.45252740646636,2005,1972,1.5,evid
0.3,0.176,1.45871625787041,2007,1972,1.5,evid
0.2,0.176,1.45213447403156,2008,1972,1.5,evid
0.1,0.176,1.46466401705113,2012,1972,1.5,evid
0,0.176,1.45262947731627,2013,1972,1.5,evid
1,0.158,1.45260693896218,1975,1975,1.5,evid
0.9,0.158,1.45004266311786,1986,1975,1.5,evid
0.8,0.158,1.45641609383485,1994,1975,1.5,evid
0.7,0.158,1.45942022061086,1998,1975,1.5,evid
0.6,0.158,1.45287625716729,2005,1975,1.5,evid
0.5,0.158,1.45463115170557,2007,1975,1.5,evid
0.4,0.158,1.47033956812316,2012,1975,1.5,evid
0.3,0.158,1.4557619712752,2013,1975,1.5,evid
0.2,0.158,1.46506953489969,2014,1975,1.5,evid
