"scc","prior"
102.99434420417829,"ni"
39.76917801087414,"ni"
69.17111028573035,"ni"
91.69820629254978,"ni"
106.2139341104808,"ni"
42.91114676274996,"ni"
40.99108547779377,"ni"
69.31990977129796,"ni"
193.79326916939485,"ni"
30.07159480621287,"ni"
43.36974481388803,"ni"
50.35229829154505,"ni"
46.74953126050011,"ni"
48.63961160691903,"ni"
26.827813817311625,"ni"
38.6549487908614,"ni"
50.27759121630759,"ni"
61.27235856103821,"ni"
29.90530190956086,"ni"
42.05954296894833,"ni"
74.25082829017005,"ni"
27.996341550391037,"ni"
64.03716133555719,"ni"
76.23427613452762,"ni"
50.43793142829604,"ni"
29.646608226034136,"ni"
250.67256601551037,"ni"
40.39611064898205,"ni"
39.2377985519697,"ni"
33.34362810994384,"ni"
75.18343845882114,"ni"
140.25323392986238,"ni"
119.33861914446382,"ni"
46.28848490030305,"ni"
123.868488256759,"ni"
10.64558064602986,"ni"
53.63475360991487,"ni"
79.91287987287625,"ni"
21.177989812928924,"ni"
313.4706715009647,"ni"
87.58096396314689,"ni"
58.492779399600124,"ni"
16.196942810762323,"ni"
38.933922602112055,"ni"
108.21314276039347,"ni"
44.14980128179923,"ni"
49.52309474141949,"ni"
28.896460786867397,"ni"
33.660836470026595,"ni"
180.56583952924075,"ni"
82.14273378411369,"ni"
111.91626928274492,"ni"
31.014340784231656,"ni"
130.51446921757653,"ni"
15.694947930322762,"ni"
84.19049639795108,"ni"
76.41426554286127,"ni"
30.600417506975617,"ni"
471.0809877095613,"ni"
117.78136175747998,"ni"
64.1382032475338,"ni"
52.8483740664275,"ni"
23.390056575136544,"ni"
31.298308240429193,"ni"
20.667358197018515,"ni"
127.94519903467194,"ni"
94.12090050953145,"ni"
39.93407984012197,"ni"
64.92556754998724,"ni"
52.64133566221648,"ni"
31.461922322858072,"ni"
65.47799618794684,"ni"
43.190770604486275,"ni"
30.140249992641152,"ni"
69.46416090340787,"ni"
33.02020181467456,"ni"
123.4095292545156,"ni"
66.48045834879625,"ni"
73.16256847754555,"ni"
16.868253088667302,"ni"
34.99591201091916,"ni"
60.53011846125404,"ni"
238.68035109344797,"ni"
38.331044929679926,"ni"
48.96196535797774,"ni"
33.639486451900105,"ni"
46.50440674830117,"ni"
59.4939803164021,"ni"
95.08991231224272,"ni"
