mu,sigma,tcr_mean,yrs,thresh
0.3,0.1945,1.45803818543687,124,1.5
0.3,0.176,1.45050521547516,137,1.5
0.3,0.1575,1.45151595151388,139,1.5
0.3,0.139,1.45148895211417,142,1.5
0.3,0.1205,1.45277168670214,147,1.5
0.3,0.102,1.45041122946324,162,1.5
0.3,0.0835,1.451156780007,185,1.5
0.3,0.065,1.45117235055291,221,1.5
0.2,0.25,1.45514144849739,115,1.5
0.2,0.2315,1.47040910777793,122,1.5
0.2,0.213,1.45580675634254,123,1.5
0.2,0.1945,1.45203491450512,126,1.5
0.2,0.176,1.46166935967019,139,1.5
0.2,0.1575,1.46449102380398,140,1.5
0.2,0.139,1.4639816949414,145,1.5
0.2,0.1205,1.45600034120647,151,1.5
0.2,0.102,1.45062433472423,169,1.5
0.2,0.0835,1.45291806983678,189,1.5
0.2,0.065,1.43637866594621,235,1.5
0.1,0.25,1.47867876924825,122,1.5
0.1,0.2315,1.46352787881232,122,1.5
0.1,0.213,1.45851507704425,124,1.5
0.1,0.1945,1.45230214015346,137,1.5
0.1,0.176,1.45554686985712,139,1.5
0.1,0.1575,1.45559577661344,140,1.5
0.1,0.139,1.45487865465565,145,1.5
0.1,0.1205,1.45599743263461,160,1.5
0.1,0.102,1.45154684908116,171,1.5
0.1,0.0835,1.45304576691384,191,1.5
0.1,0.065,1.42671583674753,235,1.5
0,0.25,1.47291127596908,122,1.5
0,0.2315,1.45601787043729,122,1.5
0,0.213,1.4587765931913,126,1.5
0,0.1945,1.45117171648641,137,1.5
0,0.176,1.47131818509485,140,1.5
0,0.1575,1.45437080581818,142,1.5
0,0.139,1.45433385689044,146,1.5
0,0.1205,1.45026936174408,161,1.5
0,0.102,1.45135980596535,176,1.5
0,0.0835,1.45094984635778,194,1.5
0,0.065,1.4170729664242,235,1.5
