year,rcp,had,had_025,had_975,cw,cw_1sigma,giss,trf,volc,solar,anthro,ghg,co2ch4n2o,co2,fgassum,mhalosum,aerosols,other,soi,amo,had_full,cw_full,giss_full,volc_mean,soi_mean,amo_mean
1973,rcp85,0.363666666666667,0.284666666666667,0.444666666666667,0.359666666666667,0.015,0.361666666666667,0.95612125,0.10632755,0.05096,0.90516124,1.442409,1.3507609,0.91528331,0.0027115974,0.088936485,-0.28770065,-0.249547063,0.958333333333333,-0.233916666666667,0.363666666666667,0.359666666666667,0.361666666666667,0.10632755,0.958333333333333,-0.233916666666667
1974,rcp85,0.0876666666666666,0.00766666666666666,0.169666666666667,0.123666666666667,0.015,0.121666666666667,0.956064833,-0.040694323,0.0251475,0.93091733,1.478712,1.3766812,0.93260715,0.0028664649,0.09916434,-0.29904331,-0.248751345,1.625,-0.438833333333333,0.0876666666666666,0.123666666666667,0.121666666666667,-0.040694323,1.625,-0.438833333333333
1975,rcp85,0.152666666666667,0.0716666666666666,0.234666666666667,0.179666666666667,0.014,0.191666666666667,0.96287759,-0.14110786,0.0099925,0.95288509,1.5123086,1.3988939,0.94626302,0.0030223703,0.11039234,-0.31246243,-0.246961032,2.06666666666667,-0.317583333333333,0.152666666666667,0.179666666666667,0.191666666666667,-0.14110786,2.06666666666667,-0.317583333333333
1976,rcp85,0.0606666666666667,-0.0213333333333334,0.141666666666667,0.0686666666666666,0.014,0.0916666666666666,0.995084406,-0.017390156,0.0194775,0.97560691,1.5513965,1.426358,0.96504571,0.0031819897,0.12185653,-0.32293575,-0.252853871,0.141666666666667,-0.382833333333333,0.0606666666666667,0.0686666666666666,0.0916666666666666,-0.017390156,0.141666666666667,-0.382833333333333
1977,rcp85,0.348666666666667,0.268666666666667,0.429666666666667,0.360666666666667,0.014,0.371666666666667,1.06474197,0.13408693,0.0600775,1.0046644,1.5963346,1.4598408,0.9895882,0.0033558215,0.13313804,-0.33146957,-0.260200603,-1.675,-0.2085,0.348666666666667,0.360666666666667,0.371666666666667,0.13408693,-1.675,-0.2085
1978,rcp85,0.239666666666667,0.158666666666667,0.322666666666667,0.248666666666667,0.014,0.261666666666667,1.16676448,0.10906922,0.12268812,1.0440764,1.6419881,1.4941224,1.0148272,0.0035402667,0.14432549,-0.33928538,-0.2586264,-0.591666666666667,-0.199333333333333,0.239666666666667,0.248666666666667,0.261666666666667,0.10906922,-0.591666666666667,-0.199333333333333
1979,rcp85,0.358666666666667,0.279666666666667,0.437666666666667,0.332666666666667,0.016,0.361666666666667,1.262200448,0.093990052,0.17410312,1.0880973,1.6890854,1.5296519,1.0415665,0.0037386925,0.15569472,-0.34168275,-0.259305294,-0.175,-0.13025,0.358666666666667,0.332666666666667,0.361666666666667,0.093990052,-0.175,-0.13025
1980,rcp85,0.393666666666667,0.311666666666667,0.474666666666667,0.441666666666667,0.015,0.471666666666667,1.31792603,0.14813797,0.19308187,1.1248442,1.7379873,1.5678603,1.0706749,0.0039500561,0.166177,-0.35217728,-0.26096588102,-0.616666666666667,-0.0384166666666667,0.393666666666667,0.441666666666667,0.471666666666667,0.14813797,-0.616666666666667,-0.0384166666666667
1981,rcp85,0.441666666666667,0.357666666666667,0.523666666666667,0.487666666666667,0.015,0.531666666666667,1.328165098,0.079596302,0.17986937,1.1482957,1.7802152,1.5997495,1.0922769,0.00417632,0.17628934,-0.36570447,-0.2662150386,0.00833333333333334,-0.0963333333333333,0.441666666666667,0.487666666666667,0.531666666666667,0.079596302,0.00833333333333334,-0.0963333333333333
1982,rcp85,0.312666666666667,0.228666666666667,0.395666666666667,0.292666666666667,0.017,0.331666666666667,1.30620282,-0.59142661,0.14232312,1.1638797,1.8180825,1.6270641,1.1090268,0.0044151951,0.18660324,-0.36903798,-0.2851648259,-2.13333333333333,-0.2325,0.312666666666667,0.292666666666667,0.331666666666667,-0.59142661,-2.13333333333333,-0.2325
1983,rcp85,0.495666666666667,0.411666666666667,0.577666666666667,0.478666666666667,0.019,0.521666666666667,1.28498363,-0.87621724,0.09982,1.1851636,1.8599582,1.659075,1.131041,0.0046605747,0.19622263,-0.37385145,-0.3009431627,-1.84166666666667,-0.0905,0.495666666666667,0.478666666666667,0.521666666666667,-0.87621724,-1.84166666666667,-0.0905
1984,rcp85,0.287666666666667,0.205666666666667,0.369666666666667,0.309666666666667,0.019,0.361666666666667,1.27187882,-0.32000161,0.0546175,1.2172613,1.9038209,1.6927102,1.1557767,0.0049154332,0.20619525,-0.37904842,-0.3075111171,-0.2,-0.22775,0.287666666666667,0.309666666666667,0.361666666666667,-0.32000161,-0.2,-0.22775
1985,rcp85,0.271666666666667,0.190666666666667,0.351666666666667,0.293666666666667,0.018,0.321666666666667,1.274539598,-0.023216198,0.02268,1.2518596,1.9460602,1.7238038,1.1790812,0.0051750643,0.2170813,-0.38170661,-0.312493952,0.075,-0.287333333333333,0.271666666666667,0.293666666666667,0.321666666666667,-0.023216198,0.075,-0.287333333333333
1986,rcp85,0.346666666666667,0.263666666666667,0.427666666666667,0.337666666666667,0.02,0.381666666666667,1.307321081,0.035044219,0.021625625,1.2856954,1.987577,1.7542676,1.2025127,0.0054426048,0.22786682,-0.38482657,-0.317055008,-0.658333333333333,-0.294666666666667,0.346666666666667,0.337666666666667,0.381666666666667,0.035044219,-0.658333333333333,-0.294666666666667
1987,rcp85,0.493666666666667,0.410666666666667,0.576666666666667,0.470666666666667,0.02,0.531666666666667,1.369395231,0.065887969,0.047569375,1.3218259,2.034025,1.788815,1.23094,0.0057302389,0.23947983,-0.39004572,-0.322153428,-2.18333333333333,0.0465,0.493666666666667,0.470666666666667,0.531666666666667,0.065887969,-2.18333333333333,0.0465
1988,rcp85,0.499666666666667,0.416666666666667,0.583666666666667,0.521666666666667,0.02,0.611666666666667,1.47010256,0.10598484,0.1045625,1.36554,2.0866217,1.8280315,1.2629696,0.0060302973,0.25255982,-0.39477974,-0.326301869,1.15,-0.0251666666666667,0.499666666666667,0.521666666666667,0.611666666666667,0.10598484,1.15,-0.0251666666666667
1989,rcp85,0.419666666666667,0.335666666666667,0.503666666666667,0.410666666666667,0.021,0.491666666666667,1.57132579,0.12928901,0.16269312,1.4086327,2.1348923,1.8628979,1.289621,0.0063303258,0.26566413,-0.39731967,-0.328939964,0.916666666666667,-0.103166666666667,0.419666666666667,0.410666666666667,0.491666666666667,0.12928901,0.916666666666667,-0.103166666666667
1990,rcp85,0.597666666666667,0.512666666666667,0.684666666666667,0.599666666666667,0.021,0.641666666666667,1.61908826,0.12654734,0.17444,1.4446482,2.1745939,1.8906493,1.3103479,0.0066440997,0.27730055,-0.39876502,-0.331180663,-0.65,-0.0586666666666667,0.597666666666667,0.599666666666667,0.641666666666667,0.12654734,-0.65,-0.0586666666666667
1991,rcp85,0.555666666666667,0.470666666666667,0.642666666666667,0.586666666666667,0.021,0.611666666666667,1.62161317,-0.81487245,0.15460375,1.4670094,2.2088808,1.914101,1.3279065,0.0069726648,0.2878072,-0.39684054,-0.345030868,-1.525,-0.1525,0.555666666666667,0.586666666666667,0.611666666666667,-0.81487245,-1.525,-0.1525
1992,rcp85,0.406666666666667,0.318666666666667,0.493666666666667,0.395666666666667,0.022,0.421666666666667,1.60291986,-1.4197527,0.12536562,1.4775542,2.2359434,1.9317701,1.3409723,0.0073154283,0.29685784,-0.39602295,-0.362366247,-2.00833333333333,-0.239666666666667,0.406666666666667,0.395666666666667,0.421666666666667,-1.4197527,-2.00833333333333,-0.239666666666667
1993,rcp85,0.449666666666667,0.362666666666667,0.538666666666667,0.436666666666667,0.023,0.441666666666667,1.57903911,-0.68190161,0.08502375,1.4940154,2.2596987,1.9483979,1.354375,0.0076849856,0.30361589,-0.39535756,-0.370325825,-1.65833333333333,-0.231416666666667,0.449666666666667,0.436666666666667,0.441666666666667,-0.68190161,-1.65833333333333,-0.231416666666667
1994,rcp85,0.509666666666667,0.420666666666667,0.599666666666667,0.505666666666667,0.024,0.511666666666667,1.56831303,-0.13151203,0.04853625,1.5197768,2.2886238,1.9720737,1.3745818,0.0081012145,0.30844889,-0.39218229,-0.376664749,-2,-0.197583333333333,0.509666666666667,0.505666666666667,0.511666666666667,-0.13151203,-2,-0.197583333333333
1995,rcp85,0.626666666666667,0.537666666666667,0.713666666666667,0.631666666666667,0.025,0.651666666666667,1.582520706,0.058691094,0.02604875,1.556472,2.3219854,2.0018007,1.400075,0.0086160703,0.31156862,-0.38560364,-0.379909824,-0.475,0.114083333333333,0.626666666666667,0.631666666666667,0.651666666666667,0.058691094,-0.475,0.114083333333333
1996,rcp85,0.484666666666667,0.392666666666667,0.571666666666667,0.528666666666667,0.026,0.541666666666667,1.61407202,0.12380568,0.019718125,1.5943539,2.3532368,2.0297115,1.4241974,0.0092756458,0.31424963,-0.37798251,-0.38090039,0.825,-0.07875,0.484666666666667,0.528666666666667,0.541666666666667,0.12380568,0.825,-0.07875
1997,rcp85,0.691666666666667,0.604666666666667,0.778666666666667,0.679666666666667,0.026,0.671666666666667,1.66238821,0.15327859,0.04291875,1.6194694,2.3851803,2.058794,1.4491927,0.010066984,0.31631932,-0.38198734,-0.383723533,-1.775,0.03075,0.691666666666667,0.679666666666667,0.671666666666667,0.15327859,-1.775,0.03075
1998,rcp85,0.840666666666667,0.751666666666667,0.928666666666667,0.831666666666667,0.028,0.821666666666667,1.73666387,0.18754943,0.09258375,1.6440801,2.4245114,2.096067,1.4810336,0.010946169,0.31749821,-0.39451503,-0.385916306,-0.516666666666667,0.351166666666667,0.840666666666667,0.831666666666667,0.821666666666667,0.18754943,-0.516666666666667,0.351166666666667
1999,rcp85,0.607666666666667,0.518666666666667,0.696666666666667,0.587666666666667,0.028,0.601666666666667,1.81688497,0.21633693,0.14625187,1.6706331,2.4608698,2.1304322,1.5106359,0.011904978,0.31853266,-0.40425484,-0.385981942,1.21666666666667,0.0966666666666667,0.607666666666667,0.587666666666667,0.601666666666667,0.21633693,1.21666666666667,0.0966666666666667
2000,rcp85,0.595666666666667,0.507666666666667,0.687666666666667,0.602666666666667,0.029,0.601666666666667,1.86751597,0.22867443,0.18119062,1.6863253,2.4875666,2.1550554,1.5327048,0.01295038,0.31956078,-0.41278407,-0.388457191,1.175,0.007,0.595666666666667,0.602666666666667,0.601666666666667,0.22867443,1.175,0.007
2001,rcp85,0.742666666666667,0.654666666666667,0.833666666666667,0.754666666666667,0.03,0.731666666666667,1.89553668,0.23244422,0.19056187,1.7049748,2.5146735,2.1801619,1.5559009,0.014180869,0.32033076,-0.41758063,-0.392118061,0.00833333333333334,0.0975833333333333,0.742666666666667,0.754666666666667,0.731666666666667,0.23244422,0.00833333333333334,0.0975833333333333
2002,rcp85,0.797666666666667,0.707666666666667,0.891666666666667,0.819666666666667,0.03,0.821666666666667,1.91291528,0.23244422,0.17415125,1.7387641,2.549346,2.2127222,1.5854995,0.015595308,0.32102852,-0.41749013,-0.39309183,-1.01666666666667,0.0435833333333333,0.797666666666667,0.819666666666667,0.821666666666667,0.23244422,-1.01666666666667,0.0435833333333333
2003,rcp85,0.806666666666667,0.718666666666667,0.901666666666667,0.819666666666667,0.029,0.801666666666667,1.90545438,0.23244422,0.13018687,1.7752675,2.5865574,2.2481923,1.6175545,0.017083966,0.32128113,-0.41820944,-0.393080479,-0.616666666666667,0.209666666666667,0.806666666666667,0.819666666666667,0.801666666666667,0.23244422,-0.616666666666667,0.209666666666667
2004,rcp85,0.748666666666667,0.659666666666667,0.840666666666667,0.736666666666667,0.029,0.731666666666667,1.89337368,0.23244422,0.086078125,1.8072955,2.6196519,2.2797418,1.6467939,0.018653392,0.3212567,-0.41940487,-0.392951434,-0.9,0.18475,0.748666666666667,0.736666666666667,0.731666666666667,0.23244422,-0.9,0.18475
2005,rcp85,0.846666666666667,0.755666666666667,0.940666666666667,0.885666666666667,0.029,0.871666666666667,1.90067636,0.18401834,0.059268125,1.8414082,2.6513159,2.3098871,1.675125,0.020283103,0.32114562,-0.41771156,-0.392196038,-0.791666666666667,0.270333333333333,0.846666666666667,0.885666666666667,0.871666666666667,0.18401834,-0.791666666666667,0.270333333333333
2006,rcp85,,0.717666666666667,0.898666666666667,,0.029,,1.92648257,0.06779623,0.043176875,1.8833057,2.6833855,2.3409789,1.7035227,0.021918123,0.32048844,-0.41069107,-0.389388708,-0.375,0.245416666666667,0.807666666666667,0.836666666666667,0.821666666666667,0.06779623,-0.375,0.245416666666667
2007,rcp85,,0.705666666666667,0.882666666666667,,0.029,,1.960723,,0.032265625,1.9284573,2.7150328,2.3718356,1.7308597,0.023667254,0.31952996,-0.401243,-0.385332459,0.0666666666666667,0.126083333333333,0.792666666666667,0.862666666666667,0.841666666666667,0.0178146542751773,0.0666666666666667,0.126083333333333
2008,rcp85,,0.609666666666667,0.784666666666667,,0.03,,2.0013956,,0.025655,1.9757406,2.7484988,2.4042828,1.7590634,0.025595557,0.31862041,-0.39182165,-0.380936563,1.78333333333333,0.116833333333333,0.696666666666667,0.728666666666667,0.711666666666667,0.0178146542751773,1.78333333333333,0.116833333333333
2009,rcp85,,0.716666666666667,0.896666666666667,,0.03,,2.0992422,,0.07252875,2.0267135,2.7851617,2.4398562,1.7897426,0.027671674,0.31763378,-0.38241096,-0.376037218,-0.116666666666667,0.01775,0.807666666666667,0.852666666666667,0.831666666666667,0.0178146542751773,-0.116666666666667,0.01775
2010,rcp85,,0.771666666666667,0.952666666666667,,0.031,,2.2226341,,0.14625187,2.0763822,2.823602,2.4771117,1.821622,0.029923555,0.3165668,-0.37552167,-0.371698186,1.325,0.32825,0.861666666666667,0.931666666666667,0.901666666666667,0.0178146542751773,1.325,0.32825
2011,rcp85,,0.637666666666667,0.816666666666667,,0.031,,2.3009155,,0.18119062,2.1197248,2.8624528,2.5146503,1.8533382,0.032337195,0.31546534,-0.37367515,-0.369052795,2.28333333333333,0.0806666666666667,0.726666666666667,0.794666666666667,0.781666666666667,0.0178146542751773,2.28333333333333,0.0806666666666667
2012,rcp85,,0.682666666666667,0.862666666666667,,0.031,,2.352413,,0.19056187,2.1618512,2.9024648,2.5532729,1.885638,0.034870041,0.31432179,-0.37435002,-0.366263586,-0.191666666666667,0.192166666666667,0.771666666666667,0.816666666666667,0.821666666666667,0.0178146542751773,-0.191666666666667,0.192166666666667
2013,rcp85,,0.724666666666667,0.907666666666667,,0.031,,2.3804523,,0.17415125,2.206301,2.9440084,2.5933847,1.9188853,0.03748151,0.3131422,-0.37502489,-0.362682501,0.416666666666667,0.145083333333333,0.815666666666667,0.850666666666667,0.851666666666667,0.0178146542751773,0.416666666666667,0.145083333333333
