tcr_mean,tcr_q025,tcr_q975,prior,year_to,run
0.957340011532323,0.611057412531646,1.24721142481813,denmod,1965,rec
0.0719954401222937,-0.0532525680127897,0.206293841340534,denstrong,1965,rec
1.28153950134243,1.02740841921918,1.53327773668875,ni,1964,rec
1.23762085643801,0.99631763220257,1.47611612753258,lukemod,1964,rec
1.06569892379038,0.91810965914755,1.22348243126107,lukestrong,1964,rec
1.01535807691972,0.684319672748516,1.29661629332825,denmod,1964,rec
0.0779129589854943,-0.0492131269176608,0.204342493119609,denstrong,1964,rec
1.20512330279471,0.965139746042544,1.44600934435579,ni,1963,rec
1.17576012322735,0.933999107892787,1.41700758372836,lukemod,1963,rec
1.05067297559411,0.90403906930315,1.2088385376975,lukestrong,1963,rec
0.951880420527421,0.62823405691555,1.22589789171746,denmod,1963,rec
0.0763872326306289,-0.0513192265954902,0.204971634769124,denstrong,1963,rec
